---,Description,Priority,Height,Gender
PV2_Main_F_002,"","0","BaseBody_F_S","F"
PV2_Main_M_002,"","0","BaseBody_M_T","M"
PV2_Main_M_006,"","0","BaseBody_M_S","M"
PV2_Main_M_005,"","0","BaseBody_M_T","M"
PV2_Main_F_001,"","0","BaseBody_F_S","F"
PV2_Main_M_001,"","0","BaseBody_M_T","M"
PV2_Main_F_003,"","0","BaseBody_F_S","F"
PV2_Main_M_004,"","0","BaseBody_M_T","M"
PV2_Main_M_003,"","0","BaseBody_M_T","M"
PV2_Extra_M_003,"","0","BaseBody_M_T","M"
PV2_Extra_F_003,"","0","BaseBody_F_S","F"
PV2_Extra_F_002,"","0","BaseBody_F_S","F"
PV2_Extra_F_001,"","0","BaseBody_F_S","F"
PV2_Extra_M_001,"","0","BaseBody_M_T","M"
PV2_Extra_M_002,"","0","BaseBody_M_T","M"
Final_F_1000_001,"","0","BaseBody_F_S","F"
Final_F_1000_002,"","0","BaseBody_F_T","F"
Final_F_2000_001,"","0","BaseBody_F_S","F"
Final_F_3000_001,"","0","BaseBody_F_S","F"
Final_F_1000_003,"","0","BaseBody_F_S","F"
Final_M_3000_001,"","0","BaseBody_M_T","M"
Final_M_3000_002,"","0","BaseBody_M_T","M"
Final_M_1000_002,"","0","BaseBody_M_S","M"
Final_M_3000_003,"","0","BaseBody_M_T","M"
Final_M_1000_001,"","0","BaseBody_M_S","M"
Final_M_1000_003,"","0","BaseBody_M_T","M"
Romance_Main_M_010,"","0","BaseBody_M_T","M"
Romance_Main_F_010,"","0","BaseBody_F_S","F"
Romance_Main_M_009,"","0","BaseBody_M_T","M"
Romance_Main_F_009,"","0","BaseBody_F_T","F"
Preset_Test_M_Idol,"","0","BaseBody_M_T","M"
Office_Main_F_001,"","0","BaseBody_F_S","F"
Office_Main_F_002,"","0","BaseBody_F_S","F"
Office_Main_F_005,"","0","BaseBody_F_S","F"
Office_Main_M_004,"","0","BaseBody_M_T","M"
Office_Main_F_003,"","0","BaseBody_F_S","F"
School_Main_M_002,"","0","BaseBody_M_S","M"
Romance_Main_M_003,"","0","BaseBody_M_T","M"
Romance_Main_M_002,"","0","BaseBody_M_T","M"
School_Main_M_001,"","0","BaseBody_M_S","M"
Romance_Main_M_005,"","0","BaseBody_M_T","M"
Romance_Main_M_006,"","0","BaseBody_M_T","M"
Romance_Main_F_002,"","0","BaseBody_F_S","F"
Romance_Main_F_004,"","0","BaseBody_F_S","F"
Romance_Main_F_001,"","0","BaseBody_F_S","F"
School_Main_F_001,"","0","BaseBody_F_S","F"
Romance_Main_M_007,"","0","BaseBody_M_T","M"
Romance_Main_M_008,"","0","BaseBody_M_T","M"
Romance_Main_F_007,"","0","BaseBody_F_T","F"
Office_Main_F_004,"","0","BaseBody_F_S","F"
Office_Main_M_001,"","0","BaseBody_M_T","M"
Romance_Main_M_004,"","0","BaseBody_M_T","M"
Romance_Main_M_001,"","0","BaseBody_M_T","M"
School_Main_F_002,"","0","BaseBody_F_S","F"
Romance_Main_F_005,"","0","BaseBody_F_T","F"
Office_Main_M_003,"","0","BaseBody_M_T","M"
School_Main_M_004,"","0","BaseBody_M_T","M"
School_Main_M_003,"","0","BaseBody_M_S","M"
School_Main_F_004,"","0","BaseBody_F_S","F"
School_Main_F_003,"","0","BaseBody_F_S","F"
Romance_Main_F_008,"","0","BaseBody_F_S","F"
Office_Main_M_002,"","0","BaseBody_M_T","M"
Office_Main_M_005,"","0","BaseBody_M_S","M"
Romance_Main_F_003,"","0","BaseBody_F_S","F"
Romance_Main_F_006,"","0","BaseBody_F_S","F"
Office_Extra_F_001,"","0","BaseBody_F_S","F"
