---,Description,Priority,Height,Gender
age_test.sav,,0,,
age_type_a.sav,,0,,
BaseBody_F_S.sav,,0,,
BaseBody_F_T.sav,,0,,
BaseBody_M_S.sav,,0,,
BaseBody_M_T.sav,,0,,
Body_F_001.sav,,0,,
Body_F_002.sav,,0,,
Body_F_003.sav,,0,,
Body_F_004.sav,,0,,
Body_F_005.sav,,0,,
Body_F_S.sav,,0,,
Body_F_T.sav,,0,,
Body_M_001.sav,,0,,
Body_M_002.sav,,0,,
Body_M_003.sav,,0,,
Body_M_004.sav,,0,,
Body_M_005.sav,,0,,
Body_M_S.sav,,0,,
Body_M_T.sav,,0,,
Clothes_F_001.sav,,0,,
Clothes_F_002.sav,,0,,
Clothes_F_003.sav,,0,,
Clothes_F_004.sav,,0,,
Clothes_F_005.sav,,0,,
Clothes_F_006.sav,,0,,
Clothes_F_007.sav,,0,,
Clothes_M_001.sav,,0,,
Clothes_M_002.sav,,0,,
Clothes_M_003.sav,,0,,
Clothes_M_004.sav,,0,,
Clothes_M_005.sav,,0,,
Clothes_M_006.sav,,0,,
C_Beemong.sav,,0,,
C_Cartoon_Mother.sav,,0,,
C_DanHeng.sav,,0,,
C_Firefly.sav,,0,,
C_Furina.sav,,0,,
C_Kikyo.sav,,0,,
C_Komano.sav,,0,,
C_Komano_Black.sav,,0,,
C_Manuka.sav,,0,,
C_March7th.sav,,0,,
C_Selestia.sav,,0,,
C_Shinonome.sav,,0,,
C_Zepeto_Sull.sav,,0,,
Drama_Extra_F_001.sav,,0,,
Drama_Extra_F_002.sav,,0,,
Drama_Extra_F_003.sav,,0,,
Drama_Extra_F_004.sav,,0,,
Drama_Extra_F_005.sav,,0,,
Drama_Extra_F_006.sav,,0,,
Drama_Extra_F_007.sav,,0,,
Drama_Extra_F_008.sav,,0,,
Drama_Extra_F_009.sav,,0,,
Drama_Extra_F_010.sav,,0,,
Drama_Extra_F_011.sav,,0,,
Drama_Extra_F_012.sav,,0,,
Drama_Extra_M_001.sav,,0,,
Drama_Extra_M_002.sav,,0,,
Drama_Extra_M_003.sav,,0,,
Drama_Extra_M_004.sav,,0,,
Drama_Extra_M_005.sav,,0,,
Drama_Extra_M_006.sav,,0,,
Drama_Extra_M_007.sav,,0,,
Drama_Extra_M_008.sav,,0,,
Drama_Extra_M_009.sav,,0,,
Drama_Extra_M_010.sav,,0,,
Drama_Extra_M_011.sav,,0,,
Drama_Extra_M_012.sav,,0,,
Drama_Extra_M_013.sav,,0,,
Drama_Extra_M_014.sav,,0,,
Drama_Extra_M_015.sav,,0,,
Drama_Extra_M_016.sav,,0,,
Drama_Extra_M_017.sav,,0,,
Drama_Extra_M_018.sav,,0,,
Drama_Extra_M_019.sav,,0,,
Drama_Extra_M_020.sav,,0,,
Drama_Extra_M_021.sav,,0,,
Drama_Extra_M_022.sav,,0,,
Final_F_1000_001.sav,,0,,
Final_F_1000_002.sav,,0,,
Final_F_1000_003.sav,,0,,
Final_F_1000_004.sav,,0,,
Final_F_2000_001.sav,,0,,
Final_F_3000_001.sav,,0,,
Final_F_Asian_001.sav,,0,,
Final_F_Black_001.sav,,0,,
Final_F_White_001.sav,,0,,
Final_F_White_002.sav,,0,,
Final_F_White_003.sav,,0,,
Final_M_1000_001.sav,,0,,
Final_M_1000_002.sav,,0,,
Final_M_1000_003.sav,,0,,
Final_M_3000_001.sav,,0,,
Final_M_3000_002.sav,,0,,
Final_M_3000_003.sav,,0,,
Final_M_3000_003_body.sav,,0,,
Final_M_Asian_001.sav,,0,,
Final_M_White_001.sav,,0,,
Final_M_White_002.sav,,0,,
Final_M_White_003.sav,,0,,
F_Casual_002.sav,,0,,
F_Police_003.sav,,0,,
Head_F_1000_001.sav,,0,,
Head_F_1000_002.sav,,0,,
Head_F_1000_003.sav,,0,,
Head_F_1000_004.sav,,0,,
Head_F_2000_001.sav,,0,,
Head_F_3000_001.sav,,0,,
Head_F_3000_002.sav,,0,,
Head_F_3000_004.sav,,0,,
Head_F_3000_005.sav,,0,,
Head_F_Asian_001.sav,,0,,
Head_F_Asian_002.sav,,0,,
Head_F_Asian_004.sav,,0,,
Head_F_Asian_005.sav,,0,,
Head_F_Black_001.sav,,0,,
Head_F_White_001.sav,,0,,
Head_F_White_002.sav,,0,,
Head_F_White_003.sav,,0,,
Head_F_White_004.sav,,0,,
Head_F_White_005.sav,,0,,
Head_M_1000_001.sav,,0,,
Head_M_1000_002.sav,,0,,
Head_M_1000_003.sav,,0,,
Head_M_1000_004.sav,,0,,
Head_M_1000_005.sav,,0,,
Head_M_2000_001.sav,,0,,
Head_M_3000_002.sav,,0,,
Head_M_3000_003.sav,,0,,
Head_M_3000_004.sav,,0,,
Head_M_Asian_001.sav,,0,,
Head_M_Asian_002.sav,,0,,
Head_M_Asian_003.sav,,0,,
Head_M_Asian_004.sav,,0,,
Head_M_Black_001.sav,,0,,
Head_M_White_001.sav,,0,,
Head_M_White_002.sav,,0,,
Head_M_White_003.sav,,0,,
Head_M_White_004.sav,,0,,
Head_M_White_005.sav,,0,,
MakeUp_Fantasy_001.sav,,0,,
MakeUp_F_1000_001.sav,,0,,
MakeUp_F_1000_002.sav,,0,,
MakeUp_F_1000_003.sav,,0,,
MakeUp_F_2000_001.sav,,0,,
MakeUp_F_3000_001.sav,,0,,
MakeUp_F_3000_002.sav,,0,,
MakeUp_F_5000_001.sav,,0,,
Makeup_F_Asian_001.sav,,0,,
MakeUp_F_Asian_002.sav,,0,,
MakeUp_F_Asian_003.sav,,0,,
MakeUp_F_Black_001.sav,,0,,
MakeUp_F_Fantasy_001.sav,,0,,
Makeup_F_White_001.sav,,0,,
Makeup_F_White_002.sav,,0,,
MakeUp_F_White_003.sav,,0,,
MakeUp_M_1000_001.sav,,0,,
MakeUp_M_1000_002.sav,,0,,
MakeUp_M_5000_001.sav,,0,,
MakeUp_M_Fantasy_001.sav,,0,,
MakeUp_M_White_001.sav,,0,,
MakeUp_M_White_002.sav,,0,,
Monster.sav,,0,,
NPC_00001_F_3000.sav,,0,,
NPC_00002_M_3000.sav,,0,,
NPC_00003_F_2000.sav,,0,,
NPC_00004_F_3000.sav,,0,,
NPC_00005_M_1000.sav,,0,,
NPC_00006_M_1000.sav,,0,,
NPC_00007_F_1000.sav,,0,,
NPC_00008_F_4000.sav,,0,,
NPC_00009_F_2000.sav,,0,,
NPC_00010_M_2000.sav,,0,,
NPC_00011_F_4000.sav,,0,,
NPC_00012_M_3000.sav,,0,,
NPC_00013_F_2000.sav,,0,,
NPC_00014_F_3000.sav,,0,,
NPC_00015_F_1000.sav,,0,,
NPC_00016_M_2000.sav,,0,,
NPC_00017_M_3000.sav,,0,,
NPC_00018_F_3000.sav,,0,,
NPC_00019_F_2000.sav,,0,,
NPC_00020_M_3000.sav,,0,,
NPC_00021_M_4000.sav,,0,,
NPC_00022_F_1000.sav,,0,,
NPC_00023_F_1000.sav,,0,,
NPC_00024_F_1000.sav,,0,,
NPC_00025_F_2000.sav,,0,,
NPC_00026_F_3000.sav,,0,,
NPC_00027_M_1000.sav,,0,,
NPC_00028_M_3000.sav,,0,,
NPC_00029_M_2000.sav,,0,,
NPC_00030_F_3000.sav,,0,,
NPC_00031_F_1000.sav,,0,,
NPC_00032_F_2000.sav,,0,,
NPC_00033_M_1000.sav,,0,,
NPC_00034_F_1000.sav,,0,,
NPC_00035_M_1000.sav,,0,,
NPC_00036_M_3000.sav,,0,,
NPC_00037_M_3000.sav,,0,,
NPC_00038_F_1000.sav,,0,,
NPC_00039_F_3000.sav,,0,,
NPC_00040_F_4000.sav,,0,,
NPC_00041_M_1000.sav,,0,,
NPC_00042_M_3000.sav,,0,,
NPC_00043_M_2000.sav,,0,,
NPC_00044_F_1000.sav,,0,,
NPC_00045_F_1000.sav,,0,,
NPC_00046_M_1000.sav,,0,,
NPC_00047_F_4000.sav,,0,,
NPC_00048_M_1000.sav,,0,,
NPC_00049_F_2000.sav,,0,,
NPC_00050_M_1000.sav,,0,,
NPC_00051_F_2000.sav,,0,,
NPC_00052_F_3000.sav,,0,,
NPC_00053_F_1000.sav,,0,,
NPC_00054_M_3000.sav,,0,,
NPC_00055_F_4000.sav,,0,,
NPC_00055_M_3000_Casual.sav,,0,,
NPC_00056_M_2000.sav,,0,,
NPC_00057_F_2000.sav,,0,,
NPC_00058_M_4000.sav,,0,,
NPC_00059_M_1000.sav,,0,,
NPC_00060_F_3000.sav,,0,,
NPC_00061_F_2000.sav,,0,,
NPC_00062_M_4000.sav,,0,,
NPC_00063_M_1000.sav,,0,,
NPC_00064_M_1000.sav,,0,,
NPC_00065_F_1000.sav,,0,,
NPC_00066_F_2000.sav,,0,,
NPC_00067_F_2000.sav,,0,,
NPC_00068_F_1000.sav,,0,,
NPC_00069_M_4000.sav,,0,,
NPC_00070_F_1000.sav,,0,,
NPC_00071_M_1000.sav,,0,,
NPC_00072_F_3000.sav,,0,,
NPC_00073_M_2000.sav,,0,,
NPC_00074_M_1000.sav,,0,,
NPC_00075_F_2000.sav,,0,,
NPC_00076_M_3000.sav,,0,,
NPC_00077_F_1000.sav,,0,,
NPC_00078_F_1000.sav,,0,,
NPC_00079_F_2000.sav,,0,,
NPC_00080_M_4000.sav,,0,,
NPC_00081_F_4000.sav,,0,,
NPC_00082_F_1000.sav,,0,,
NPC_00083_F_3000.sav,,0,,
NPC_00084_F_1000.sav,,0,,
NPC_00085_M_1000.sav,,0,,
NPC_00086_M_1000.sav,,0,,
NPC_00087_M_2000.sav,,0,,
NPC_00088_F_2000.sav,,0,,
NPC_00089_M_4000.sav,,0,,
NPC_00090_F_4000.sav,,0,,
NPC_00091_F_4000.sav,,0,,
NPC_00092_F_1000.sav,,0,,
NPC_00093_F_4000.sav,,0,,
NPC_001_F_White_Casual.sav,,0,,
Office_Extra_F_001.sav,,0,,
Office_Extra_F_002.sav,,0,,
Office_Extra_M_001 .sav,,0,,
Office_Extra_M_001.sav,,0,,
Office_Main_F_001.sav,,0,,
Office_Main_F_002.sav,,0,,
Office_Main_F_003.sav,,0,,
Office_Main_F_004.sav,,0,,
Office_Main_F_005.sav,,0,,
Office_Main_F_007.sav,,0,,
Office_Main_M_001.sav,,0,,
Office_Main_M_002.sav,,0,,
Office_Main_M_003.sav,,0,,
Office_Main_M_004.sav,,0,,
Office_Main_M_005.sav,,0,,
Old_Man.sav,,0,,
PhotosData.sav,,0,,
Preset_Test_M_Idol.sav,,0,,
PreviewCharacter.sav,,0,,
PV2_Extra_F_001.sav,,0,,
PV2_Extra_F_002.sav,,0,,
PV2_Extra_F_003.sav,,0,,
PV2_Extra_M_001.sav,,0,,
PV2_Extra_M_002.sav,,0,,
PV2_Extra_M_003.sav,,0,,
PV2_Main_F_001.sav,,0,,
PV2_Main_F_002.sav,,0,,
PV2_Main_F_003.sav,,0,,
PV2_Main_M_001.sav,,0,,
